savegame,version,cpu,cpu_stddev,memory
PublicServerGame_05_Final.sav,baseline,8726.55,0.19,86944
PublicServerGame_05_Final.sav,stable,8729.43,0.14,85280
PublicServerGame_05_Final.sav,today,8424.94,0.09,42440
PublicServerGame_05_Final.sav,yesterday,8423.53,0.16,42516
PublicServerGame_326_Final.sav,baseline,10014.84,0.14,84252
PublicServerGame_326_Final.sav,stable,9770.33,0.18,84820
PublicServerGame_326_Final.sav,today,9817.49,0.11,39424
PublicServerGame_326_Final.sav,yesterday,9838.88,0.22,39424
PublicServerGame_329_Final.sav,baseline,9496.04,0.11,112856
PublicServerGame_329_Final.sav,stable,9506.15,0.21,110240
PublicServerGame_329_Final.sav,today,8760.11,0.42,77476
PublicServerGame_329_Final.sav,yesterday,8741.21,0.65,77332
lordaro_British-Railways-4th-Oct-2082.sav,baseline,8204.79,0.07,83012
lordaro_British-Railways-4th-Oct-2082.sav,stable,8084.89,0.26,84008
lordaro_British-Railways-4th-Oct-2082.sav,today,1304.72,0.10,42624
lordaro_British-Railways-4th-Oct-2082.sav,yesterday,1314.34,0.65,42624
lordaro_biggest_town_ever.sav,baseline,5040.73,0.21,101200
lordaro_biggest_town_ever.sav,stable,5110.55,0.19,100248
lordaro_biggest_town_ever.sav,today,6850.04,0.09,85996
lordaro_biggest_town_ever.sav,yesterday,6905.59,0.20,86124
opntitle-1.0.sav,baseline,6411.66,0.15,53152
opntitle-1.0.sav,stable,6529.30,0.11,50920
opntitle-1.0.sav,today,7405.84,0.09,32640
opntitle-1.0.sav,yesterday,7434.24,0.17,32768
opntitle-1.1.sav,baseline,11478.59,0.66,79668
opntitle-1.1.sav,stable,8700.98,0.35,81572
opntitle-1.1.sav,today,9403.50,0.27,36196
opntitle-1.1.sav,yesterday,9502.37,0.61,36072
opntitle-1.2.sav,baseline,6609.87,0.15,55500
opntitle-1.2.sav,stable,6709.45,0.34,54764
opntitle-1.2.sav,today,7604.61,0.20,36340
opntitle-1.2.sav,yesterday,7588.44,0.15,36708
opntitle-1.3.sav,baseline,6417.56,0.18,55488
opntitle-1.3.sav,stable,6542.51,0.27,54612
opntitle-1.3.sav,today,7451.68,0.56,35944
opntitle-1.3.sav,yesterday,7382.76,0.19,36072
opntitle-1.4.sav,baseline,9054.63,0.11,82620
opntitle-1.4.sav,stable,8108.60,0.26,83008
opntitle-1.4.sav,today,9852.83,0.24,39068
opntitle-1.4.sav,yesterday,9847.96,0.20,38968
opntitle-1.5.sav,baseline,12803.82,0.07,82148
opntitle-1.5.sav,stable,10854.51,0.14,83476
opntitle-1.5.sav,today,14023.63,0.18,37628
opntitle-1.5.sav,yesterday,14028.83,0.19,37504
opntitle-1.7.sav,baseline,10814.98,0.27,78792
opntitle-1.7.sav,stable,8307.74,0.16,80412
opntitle-1.7.sav,today,9434.80,0.26,36452
opntitle-1.7.sav,yesterday,9463.14,0.32,36324
opntitle-1.9.sav,baseline,6435.93,0.28,53160
opntitle-1.9.sav,stable,6572.37,0.26,51480
opntitle-1.9.sav,today,7432.99,0.12,34148
opntitle-1.9.sav,yesterday,7428.38,0.10,34152
opntitle.sav,baseline,12196.96,0.24,78692
opntitle.sav,stable,10242.20,0.25,81128
opntitle.sav,today,7635.08,0.35,35840
opntitle.sav,yesterday,7614.07,0.46,35840
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,baseline,18520.31,0.51,136236
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,stable,18305.33,0.57,138172
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,today,14072.31,0.57,123016
speed-test-600-15-Timbertrains-15th-Sep-2031.sav,yesterday,14351.98,0.72,123132
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,baseline,11016.33,0.36,88364
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,stable,10085.74,0.30,89352
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,today,9484.36,0.23,44992
timberwolf-Garnway-on-sea-Transport-1892-01-04.sav,yesterday,9464.32,0.36,45120
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,baseline,11855.37,0.76,123172
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,stable,13429.40,0.17,123444
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,today,11526.55,0.52,79792
timberwolf-Northern-Canal-Cooperative-1847-04-18.sav,yesterday,11730.29,0.71,80048
wentbourne.sav,baseline,45022.30,0.38,301092
wentbourne.sav,stable,44930.18,0.27,295292
wentbourne.sav,today,43610.63,0.23,151272
wentbourne.sav,yesterday,43346.86,0.12,151400
